Model unknown

  Variables:
    Q : Size=23409, Index=Q_index
           (0, 55) :     0 :   0.0 :     1 : False : False : Binary
           (0, 56) :     0 :   0.0 :     1 : False : False : Binary
           (0, 57) :     0 :   0.0 :     1 : False : False : Binary
           (0, 58) :     0 :   0.0 :     1 : False : False : Binary
           (0, 59) :     0 :   0.0 :     1 : False : False : Binary
           (0, 60) :     0 :   0.0 :     1 : False : False : Binary
           (0, 61) :     0 :   0.0 :     1 : False : False : Binary
           (0, 62) :     0 :   0.0 :     1 : False : False : Binary
           (0, 63) :     0 :   0.0 :     1 : False : False : Binary
           (0, 64) :     0 :   0.0 :     1 : False : False : Binary
           (0, 65) :     0 :   0.0 :     1 : False : False : Binary
           (0, 66) :     0 :   0.0 :     1 : False : False : Binary
           (0, 67) :     0 :   0.0 :     1 : False : False : Binary
           (0, 68) :     0 :   0.0 :     1 : False : False : Binary
           (0, 69) :     0 :   0.0 :     1 : False : False : Binary
           (0, 70) :     0 :   0.0 :     1 : False : False : Binary
           (0, 71) :     0 :   0.0 :     1 : False : False : Binary
           (0, 72) :     0 :   0.0 :     1 : False : False : Binary
           (0, 73) :     0 :   0.0 :     1 : False : False : Binary
           (0, 74) :     0 :   0.0 :     1 : False : False : Binary
           (0, 75) :     0 :   0.0 :     1 : False : False : Binary
           (0, 76) :     0 :   0.0 :     1 : False : False : Binary
           (0, 77) :     0 :   0.0 :     1 : False : False : Binary
           (0, 78) :     0 :   0.0 :     1 : False : False : Binary
           (0, 79) :     0 :   0.0 :     1 : False : False : Binary
           (0, 80) :     0 :   0.0 :     1 : False : False : Binary
           (0, 81) :     0 :   0.0 :     1 : False : False : Binary
           (0, 82) :     0 :   0.0 :     1 : False : False : Binary
           (0, 83) :     0 :   0.0 :     1 : False : False : Binary
           (0, 84) :     0 :   0.0 :     1 : False : False : Binary
           (0, 85) :     0 :   0.0 :     1 : False : False : Binary
           (0, 86) :     0 :   0.0 :     1 : False : False : Binary
           (0, 87) :     0 :   0.0 :     1 : False : False : Binary
           (0, 88) :     0 :   0.0 :     1 : False : False : Binary
           (0, 89) :     0 :   0.0 :     1 : False : False : Binary
           (0, 90) :     0 :   0.0 :     1 : False : False : Binary
           (0, 91) :     0 :   0.0 :     1 : False : False : Binary
           (0, 92) :     0 :   0.0 :     1 : False : False : Binary
           (0, 93) :     0 :   0.0 :     1 : False : False : Binary
           (0, 94) :     0 :   0.0 :     1 : False : False : Binary
           (0, 95) :     0 :   0.0 :     1 : False : False : Binary
           (0, 96) :     0 :   0.0 :     1 : False : False : Binary
           (0, 97) :     0 :   0.0 :     1 : False : False : Binary
           (0, 98) :     0 :   0.0 :     1 : False : False : Binary
           (0, 99) :     0 :   0.0 :     1 : False : False : Binary
          (0, 100) :     0 :   0.0 :     1 : False : False : Binary
          (0, 101) :     0 :   0.0 :     1 : False : False : Binary
          (0, 102) :     0 :   0.0 :     1 : False : False : Binary
          (0, 103) :     0 :   0.0 :     1 : False : False : Binary
          (0, 104) :     0 :   0.0 :     1 : False : False : Binary
          (0, 105) :     0 :   0.0 :     1 : False : False : Binary
          (0, 106) :     0 :   0.0 :     1 : False : False : Binary
          (0, 107) :     0 :   0.0 :     1 : False : False : Binary
          (0, 108) :     0 :   0.0 :     1 : False : False : Binary
          (0, 109) :     0 :   0.0 :     1 : False : False : Binary
          (0, 110) :     0 :   0.0 :     1 : False : False : Binary
          (0, 111) :     0 :   0.0 :     1 : False : False : Binary
          (0, 112) :     0 :   0.0 :     1 : False : False : Binary
          (0, 113) :     0 :   0.0 :     1 : False : False : Binary
          (0, 114) :     0 :   0.0 :     1 : False : False : Binary
          (0, 115) :     0 :   0.0 :     1 : False : False : Binary
          (0, 116) :     0 :   0.0 :     1 : False : False : Binary
          (0, 117) :     0 :   0.0 :     1 : False : False : Binary
          (0, 118) :     0 :   0.0 :     1 : False : False : Binary
          (0, 119) :     0 :   0.0 :     1 : False : False : Binary
          (0, 120) :     0 :   0.0 :     1 : False : False : Binary
          (0, 121) :     0 :   0.0 :     1 : False : False : Binary
          (0, 122) :     0 :   0.0 :     1 : False : False : Binary
          (0, 123) :     0 :   0.0 :     1 : False : False : Binary
          (0, 124) :     0 :   0.0 :     1 : False : False : Binary
          (0, 125) :     0 :   0.0 :     1 : False : False : Binary
          (0, 126) :     0 :   0.0 :     1 : False : False : Binary
          (0, 127) :     0 :   0.0 :     1 : False : False : Binary
          (0, 128) :     0 :   0.0 :     1 : False : False : Binary
          (0, 129) :     0 :   0.0 :     1 : False : False : Binary
          (0, 130) :     0 :   0.0 :     1 : False : False : Binary
          (0, 131) :     0 :   0.0 :     1 : False : False : Binary
          (0, 132) :     0 :   0.0 :     1 : False : False : Binary
          (0, 133) :     0 :   0.0 :     1 : False : False : Binary
          (0, 134) :     0 :   0.0 :     1 : False : False : Binary
          (0, 135) :     0 :   0.0 :     1 : False : False : Binary
          (0, 136) :     0 :   0.0 :     1 : False : False : Binary
          (0, 137) :     0 :   0.0 :     1 : False : False : Binary
          (0, 138) :     0 :   0.0 :     1 : False : False : Binary
          (0, 139) :     0 :   0.0 :     1 : False : False : Binary
          (0, 140) :     0 :   0.0 :     1 : False : False : Binary
          (0, 141) :     0 :   0.0 :     1 : False : False : Binary
          (0, 142) :     0 :   0.0 :     1 : False : False : Binary
          (0, 143) :     0 :   0.0 :     1 : False : False : Binary
          (0, 144) :     0 :   0.0 :     1 : False : False : Binary
          (0, 145) :     0 :   0.0 :     1 : False : False : Binary
          (0, 146) :     0 :   0.0 :     1 : False : False : Binary
          (0, 147) :     0 :   0.0 :     1 : False : False : Binary
          (0, 148) :     0 :   0.0 :     1 : False : False : Binary
          (0, 149) :     0 :   0.0 :     1 : False : False : Binary
          (0, 150) :     0 :   0.0 :     1 : False : False : Binary
          (0, 151) :     0 :   0.0 :     1 : False : False : Binary
          (0, 152) :     0 :   0.0 :     1 : False : False : Binary
            (1, 0) :     0 :   0.0 :     1 : False : False : Binary
            (1, 1) :     0 :   0.0 :     1 : False : False : Binary
            (1, 2) :     0 :   0.0 :     1 : False : False : Binary
            (1, 3) :     0 :   0.0 :     1 : False : False : Binary
            (1, 4) :     0 :   0.0 :     1 : False : False : Binary
            (1, 5) :     0 :   0.0 :     1 : False : False : Binary
            (1, 6) :     0 :   0.0 :     1 : False : False : Binary
            (1, 7) :     0 :   0.0 :     1 : False : False : Binary
            (1, 8) :     0 :   0.0 :     1 : False : False : Binary
            (1, 9) :     0 :   0.0 :     1 : False : False : Binary
           (1, 10) :     0 :   0.0 :     1 : False : False : Binary
           (1, 11) :     0 :   0.0 :     1 : False : False : Binary
           (1, 12) :     0 :   0.0 :     1 : False : False : Binary
           (1, 13) :     0 :   0.0 :     1 : False : False : Binary
           (1, 14) :     0 :   0.0 :     1 : False : False : Binary
           (1, 15) :     0 :   0.0 :     1 : False : False : Binary
           (1, 16) :     0 :   0.0 :     1 : False : False : Binary
           (1, 17) :     0 :   0.0 :     1 : False : False : Binary
           (1, 18) :     0 :   0.0 :     1 : False : False : Binary
           (1, 19) :     0 :   0.0 :     1 : False : False : Binary
           (1, 20) :     0 :   0.0 :     1 : False : False : Binary
           (1, 21) :     0 :   0.0 :     1 : False : False : Binary
           (1, 22) :     0 :   0.0 :     1 : False : False : Binary
           (1, 23) :     0 :   0.0 :     1 : False : False : Binary
           (1, 24) :     0 :   0.0 :     1 : False : False : Binary
           (1, 25) :     0 :   0.0 :     1 : False : False : Binary
           (1, 26) :     0 :   0.0 :     1 : False : False : Binary
           (1, 27) :     0 :   0.0 :     1 : False : False : Binary
           (1, 28) :     0 :   0.0 :     1 : False : False : Binary
           (1, 29) :     0 :   0.0 :     1 : False : False : Binary
           (1, 30) :     0 :   0.0 :     1 : False : False : Binary
           (1, 31) :     0 :   0.0 :     1 : False : False : Binary
           (1, 32) :     0 :   0.0 :     1 : False : False : Binary
           (1, 33) :     0 :   0.0 :     1 : False : False : Binary
           (1, 34) :     0 :   0.0 :     1 : False : False : Binary
           (1, 35) :     0 :   0.0 :     1 : False : False : Binary
           (1, 36) :     0 :   0.0 :     1 : False : False : Binary
           (1, 37) :     0 :   0.0 :     1 : False : False : Binary
           (1, 38) :     0 :   0.0 :     1 : False : False : Binary
           (1, 39) :     0 :   0.0 :     1 : False : False : Binary
           (1, 40) :     0 :   0.0 :     1 : False : False : Binary
           (1, 41) :     0 :   0.0 :     1 : False : False : Binary
           (1, 42) :     0 :   0.0 :     1 : False : False : Binary
           (1, 43) :     0 :   0.0 :     1 : False : False : Binary
           (1, 44) :     0 :   0.0 :     1 : False : False : Binary
           (1, 45) :     0 :   0.0 :     1 : False : False : Binary
           (1, 46) :     0 :   0.0 :     1 : False : False : Binary
           (1, 47) :     0 :   0.0 :     1 : False : False : Binary
           (1, 48) :     0 :   0.0 :     1 : False : False : Binary
           (1, 49) :     0 :   0.0 :     1 : False : False : Binary
           (1, 50) :     0 :   0.0 :     1 : False : False : Binary
           (1, 51) :     0 :   0.0 :     1 : False : False : Binary
           (1, 52) :     0 :   0.0 :     1 : False : False : Binary
           (1, 53) :     0 :   0.0 :     1 : False : False : Binary
           (1, 54) :     0 :   0.0 :     1 : False : False : Binary
           (1, 55) :     0 :   0.0 :     1 : False : False : Binary
           (1, 56) :     0 :   0.0 :     1 : False : False : Binary
           (1, 57) :     0 :   0.0 :     1 : False : False : Binary
           (1, 58) :     0 :   0.0 :     1 : False : False : Binary
           (1, 59) :     0 :   0.0 :     1 : False : False : Binary
           (1, 60) :     0 :   0.0 :     1 : False : False : Binary
           (1, 61) :     0 :   0.0 :     1 : False : False : Binary
           (1, 62) :     0 :   0.0 :     1 : False : False : Binary
           (1, 63) :     0 :   0.0 :     1 : False : False : Binary
           (1, 64) :     0 :   0.0 :     1 : False : False : Binary
           (1, 65) :     0 :   0.0 :     1 : False : False : Binary
           (1, 66) :     0 :   0.0 :     1 : False : False : Binary
           (1, 67) :     0 :   0.0 :     1 : False : False : Binary
           (1, 68) :     0 :   0.0 :     1 : False : False : Binary
           (1, 69) :     0 :   0.0 :     1 : False : False : Binary
           (1, 70) :     0 :   0.0 :     1 : False : False : Binary
           (1, 71) :     0 :   0.0 :     1 : False : False : Binary
           (1, 72) :     0 :   0.0 :     1 : False : False : Binary
           (1, 73) :     0 :   0.0 :     1 : False : False : Binary
           (1, 74) :     0 :   0.0 :     1 : False : False : Binary
           (1, 75) :     0 :   0.0 :     1 : False : False : Binary
           (1, 76) :     0 :   0.0 :     1 : False : False : Binary
           (1, 77) :     0 :   0.0 :     1 : False : False : Binary
           (1, 78) :     0 :   0.0 :     1 : False : False : Binary
           (1, 79) :     0 :   0.0 :     1 : False : False : Binary
           (1, 80) :     0 :   0.0 :     1 : False : False : Binary
           (1, 81) :     0 :   0.0 :     1 : False : False : Binary
           (1, 82) :     0 :   0.0 :     1 : False : False : Binary
           (1, 83) :     0 :   0.0 :     1 : False : False : Binary
           (1, 84) :     0 :   0.0 :     1 : False : False : Binary
           (1, 85) :     0 :   0.0 :     1 : False : False : Binary
           (1, 86) :     0 :   0.0 :     1 : False : False : Binary
           (1, 87) :     0 :   0.0 :     1 : False : False : Binary
           (1, 88) :     0 :   0.0 :     1 : False : False : Binary
           (1, 89) :     0 :   0.0 :     1 : False : False : Binary
           (1, 90) :     0 :   0.0 :     1 : False : False : Binary
           (1, 91) :     0 :   0.0 :     1 : False : False : Binary
           (1, 92) :     0 :   0.0 :     1 : False : False : Binary
           (1, 93) :     0 :   0.0 :     1 : False : False : Binary
           (1, 94) :     0 :   0.0 :     1 : False : False : Binary
           (1, 95) :     0 :   0.0 :     1 : False : False : Binary
           (1, 96) :     0 :   0.0 :     1 : False : False : Binary
           (1, 97) :     0 :   0.0 :     1 : False : False : Binary
           (1, 98) :     0 :   0.0 :     1 : False : False : Binary
           (1, 99) :     0 :   0.0 :     1 : False : False : Binary
          (1, 100) :     0 :   0.0 :     1 : False : False : Binary
          (1, 101) :     0 :   0.0 :     1 : False : False : Binary
          (1, 102) :     0 :   0.0 :     1 : False : False : Binary
          (1, 103) :     0 :   0.0 :     1 : False : False : Binary
          (1, 104) :     0 :   0.0 :     1 : False : False : Binary
          (1, 105) :     0 :   0.0 :     1 : False : False : Binary
          (1, 106) :     0 :   0.0 :     1 : False : False : Binary
          (1, 107) :     0 :   0.0 :     1 : False : False : Binary
          (1, 108) :     0 :   0.0 :     1 : False : False : Binary
          (1, 109) :     0 :   0.0 :     1 : False : False : Binary
          (1, 110) :     0 :   0.0 :     1 : False : False : Binary
          (1, 111) :     0 :   0.0 :     1 : False : False : Binary
          (1, 112) :     0 :   0.0 :     1 : False : False : Binary
          (1, 113) :     0 :   0.0 :     1 : False : False : Binary
          (1, 114) :     0 :   0.0 :     1 : False : False : Binary
          (1, 115) :     0 :   0.0 :     1 : False : False : Binary
          (1, 116) :     0 :   0.0 :     1 : False : False : Binary
          (1, 117) :     0 :   0.0 :     1 : False : False : Binary
          (1, 118) :     0 :   0.0 :     1 : False : False : Binary
          (1, 119) :     0 :   0.0 :     1 : False : False : Binary
          (1, 120) :     0 :   0.0 :     1 : False : False : Binary
          (1, 121) :     0 :   0.0 :     1 : False : False : Binary
          (1, 122) :     0 :   0.0 :     1 : False : False : Binary
          (1, 123) :     0 :   0.0 :     1 : False : False : Binary
          (1, 124) :     0 :   0.0 :     1 : False : False : Binary
          (1, 125) :     0 :   0.0 :     1 : False : False : Binary
          (1, 126) :     0 :   0.0 :     1 : False : False : Binary
          (1, 127) :     0 :   0.0 :     1 : False : False : Binary
          (1, 128) :     0 :   0.0 :     1 : False : False : Binary
          (1, 129) :     0 :   0.0 :     1 : False : False : Binary
          (1, 130) :     0 :   0.0 :     1 : False : False : Binary
          (1, 131) :     0 :   0.0 :     1 : False : False : Binary
          (1, 132) :     0 :   0.0 :     1 : False : False : Binary
          (1, 133) :     0 :   0.0 :     1 : False : False : Binary
          (1, 134) :     0 :   0.0 :     1 : False : False : Binary
          (1, 135) :     0 :   0.0 :     1 : False : False : Binary
          (1, 136) :     0 :   0.0 :     1 : False : False : Binary
          (1, 137) :     0 :   0.0 :     1 : False : False : Binary
          (1, 138) :     0 :   0.0 :     1 : False : False : Binary
          (1, 139) :     0 :   0.0 :     1 : False : False : Binary
          (1, 140) :     0 :   0.0 :     1 : False : False : Binary
          (1, 141) :     0 :   0.0 :     1 : False : False : Binary
          (1, 142) :     0 :   0.0 :     1 : False : False : Binary
          (1, 143) :     0 :   0.0 :     1 : False : False : Binary
          (1, 144) :     0 :   0.0 :     1 : False : False : Binary
          (1, 145) :     0 :   0.0 :     1 : False : False : Binary
          (1, 146) :     0 :   0.0 :     1 : False : False : Binary
          (1, 147) :     0 :   0.0 :     1 : False : False : Binary
          (1, 148) :     0 :   0.0 :     1 : False : False : Binary
          (1, 149) :     0 :   0.0 :     1 : False : False : Binary
          (1, 150) :     0 :   0.0 :     1 : False : False : Binary
          (1, 151) :     0 :   0.0 :     1 : False : False : Binary
          (1, 152) :     0 :   0.0 :     1 : False : False : Binary
            (2, 0) :     0 :   0.0 :     1 : False : False : Binary
            (2, 1) :     0 :   0.0 :     1 : False : False : Binary
            (2, 2) :     0 :   0.0 :     1 : False : False : Binary
            (2, 3) :     0 :   0.0 :     1 : False : False : Binary
            (2, 4) :     0 :   0.0 :     1 : False : False : Binary
            (2, 5) :     0 :   0.0 :     1 : False : False : Binary
            (2, 6) :     0 :   0.0 :     1 : False : False : Binary
            (2, 7) :     0 :   0.0 :     1 : False : False : Binary
            (2, 8) :     0 :   0.0 :     1 : False : False : Binary
            (2, 9) :     0 :   0.0 :     1 : False : False : Binary
           (2, 10) :     0 :   0.0 :     1 : False : False : Binary
           (2, 11) :     0 :   0.0 :     1 : False : False : Binary
           (2, 12) :     0 :   0.0 :     1 : False : False : Binary
           (2, 13) :     0 :   0.0 :     1 : False : False : Binary
           (2, 14) :     0 :   0.0 :     1 : False : False : Binary
           (2, 15) :     0 :   0.0 :     1 : False : False : Binary
           (2, 16) :     0 :   0.0 :     1 : False : False : Binary
           (2, 17) :     0 :   0.0 :     1 : False : False : Binary
           (2, 18) :     0 :   0.0 :     1 : False : False : Binary
           (2, 19) :     0 :   0.0 :     1 : False : False : Binary
           (2, 20) :     0 :   0.0 :     1 : False : False : Binary
           (2, 21) :     0 :   0.0 :     1 : False : False : Binary
           (2, 22) :     0 :   0.0 :     1 : False : False : Binary
           (2, 23) :     0 :   0.0 :     1 : False : False : Binary
           (2, 24) :     0 :   0.0 :     1 : False : False : Binary
           (2, 25) :     0 :   0.0 :     1 : False : False : Binary
           (2, 26) :     0 :   0.0 :     1 : False : False : Binary
           (2, 27) :     0 :   0.0 :     1 : False : False : Binary
           (2, 28) :     0 :   0.0 :     1 : False : False : Binary
           (2, 29) :     0 :   0.0 :     1 : False : False : Binary
           (2, 30) :     0 :   0.0 :     1 : False : False : Binary
           (2, 31) :     0 :   0.0 :     1 : False : False : Binary
           (2, 32) :     0 :   0.0 :     1 : False : False : Binary
           (2, 33) :     0 :   0.0 :     1 : False : False : Binary
           (2, 34) :     0 :   0.0 :     1 : False : False : Binary
           (2, 35) :     0 :   0.0 :     1 : False : False : Binary
           (2, 36) :     0 :   0.0 :     1 : False : False : Binary
           (2, 37) :     0 :   0.0 :     1 : False : False : Binary
           (2, 38) :     0 :   0.0 :     1 : False : False : Binary
           (2, 39) :     0 :   0.0 :     1 : False : False : Binary
           (2, 40) :     0 :   0.0 :     1 : False : False : Binary
           (2, 41) :     0 :   0.0 :     1 : False : False : Binary
           (2, 42) :     0 :   0.0 :     1 : False : False : Binary
           (2, 43) :     0 :   0.0 :     1 : False : False : Binary
           (2, 44) :     0 :   0.0 :     1 : False : False : Binary
           (2, 45) :     0 :   0.0 :     1 : False : False : Binary
           (2, 46) :     0 :   0.0 :     1 : False : False : Binary
           (2, 47) :     0 :   0.0 :     1 : False : False : Binary
           (2, 48) :     0 :   0.0 :     1 : False : False : Binary
           (2, 49) :     0 :   0.0 :     1 : False : False : Binary
           (2, 50) :     0 :   0.0 :     1 : False : False : Binary
           (2, 51) :     0 :   0.0 :     1 : False : False : Binary
           (2, 52) :     0 :   0.0 :     1 : False : False : Binary
           (2, 53) :     0 :   0.0 :     1 : False : False : Binary
           (2, 54) :     0 :   0.0 :     1 : False : False : Binary
           (2, 55) :     0 :   0.0 :     1 : False : False : Binary
           (2, 56) :     0 :   0.0 :     1 : False : False : Binary
           (2, 57) :     0 :   0.0 :     1 : False : False : Binary
           (2, 58) :     0 :   0.0 :     1 : False : False : Binary
           (2, 59) :     0 :   0.0 :     1 : False : False : Binary
           (2, 60) :     0 :   0.0 :     1 : False : False : Binary
           (2, 61) :     0 :   0.0 :     1 : False : False : Binary
           (2, 62) :     0 :   0.0 :     1 : False : False : Binary
           (2, 63) :     0 :   0.0 :     1 : False : False : Binary
           (2, 64) :     0 :   0.0 :     1 : False : False : Binary
           (2, 65) :     0 :   0.0 :     1 : False : False : Binary
           (2, 66) :     0 :   0.0 :     1 : False : False : Binary
           (2, 67) :     0 :   0.0 :     1 : False : False : Binary
           (2, 68) :     0 :   0.0 :     1 : False : False : Binary
           (2, 69) :     0 :   0.0 :     1 : False : False : Binary
           (2, 70) :     0 :   0.0 :     1 : False : False : Binary
           (2, 71) :     0 :   0.0 :     1 : False : False : Binary
           (2, 72) :     0 :   0.0 :     1 : False : False : Binary
           (2, 73) :     0 :   0.0 :     1 : False : False : Binary
           (2, 74) :     0 :   0.0 :     1 : False : False : Binary
           (2, 75) :     0 :   0.0 :     1 : False : False : Binary
           (2, 76) :     0 :   0.0 :     1 : False : False : Binary
           (2, 77) :     0 :   0.0 :     1 : False : False : Binary
           (2, 78) :     0 :   0.0 :     1 : False : False : Binary
           (2, 79) :     0 :   0.0 :     1 : False : False : Binary
           (2, 80) :     0 :   0.0 :     1 : False : False : Binary
           (2, 81) :     0 :   0.0 :     1 : False : False : Binary
           (2, 82) :     0 :   0.0 :     1 : False : False : Binary
           (2, 83) :     0 :   0.0 :     1 : False : False : Binary
           (2, 84) :     0 :   0.0 :     1 : False : False : Binary
           (2, 85) :     0 :   0.0 :     1 : False : False : Binary
           (2, 86) :     0 :   0.0 :     1 : False : False : Binary
           (2, 87) :     0 :   0.0 :     1 : False : False : Binary
           (2, 88) :     0 :   0.0 :     1 : False : False : Binary
           (2, 89) :     0 :   0.0 :     1 : False : False : Binary
           (2, 90) :     0 :   0.0 :     1 : False : False : Binary
           (2, 91) :     0 :   0.0 :     1 : False : False : Binary
           (2, 92) :     0 :   0.0 :     1 : False : False : Binary
           (2, 93) :     0 :   0.0 :     1 : False : False : Binary
           (2, 94) :     0 :   0.0 :     1 : False : False : Binary
           (2, 95) :     0 :   0.0 :     1 : False : False : Binary
           (2, 96) :     0 :   0.0 :     1 : False : False : Binary
           (2, 97) :     0 :   0.0 :     1 : False : False : Binary
           (2, 98) :     0 :   0.0 :     1 : False : False : Binary
           (2, 99) :     0 :   0.0 :     1 : False : False : Binary
          (2, 100) :     0 :   0.0 :     1 : False : False : Binary
          (2, 101) :     0 :   0.0 :     1 : False : False : Binary
          (2, 102) :     0 :   0.0 :     1 : False : False : Binary
          (2, 103) :     0 :   0.0 :     1 : False : False : Binary
          (2, 104) :     0 :   0.0 :     1 : False : False : Binary
          (2, 105) :     0 :   0.0 :     1 : False : False : Binary
          (2, 106) :     0 :   0.0 :     1 : False : False : Binary
          (2, 107) :     0 :   0.0 :     1 : False : False : Binary
          (2, 108) :     0 :   0.0 :     1 : False : False : Binary
          (2, 109) :     0 :   0.0 :     1 : False : False : Binary
          (2, 110) :     0 :   0.0 :     1 : False : False : Binary
          (2, 111) :     0 :   0.0 :     1 : False : False : Binary
          (2, 112) :     0 :   0.0 :     1 : False : False : Binary
          (2, 113) :     0 :   0.0 :     1 : False : False : Binary
          (2, 114) :     0 :   0.0 :     1 : False : False : Binary
          (2, 115) :     0 :   0.0 :     1 : False : False : Binary
          (2, 116) :     0 :   0.0 :     1 : False : False : Binary
          (2, 117) :     0 :   0.0 :     1 : False : False : Binary
          (2, 118) :     0 :   0.0 :     1 : False : False : Binary
          (2, 119) :     0 :   0.0 :     1 : False : False : Binary
          (2, 120) :     0 :   0.0 :     1 : False : False : Binary
          (2, 121) :     0 :   0.0 :     1 : False : False : Binary
          (2, 122) :     0 :   0.0 :     1 : False : False : Binary
          (2, 123) :     0 :   0.0 :     1 : False : False : Binary
          (2, 124) :     0 :   0.0 :     1 : False : False : Binary
          (2, 125) :     0 :   0.0 :     1 : False : False : Binary
          (2, 126) :     0 :   0.0 :     1 : False : False : Binary
          (2, 127) :     0 :   0.0 :     1 : False : False : Binary
          (2, 128) :     0 :   0.0 :     1 : False : False : Binary
          (2, 129) :     0 :   0.0 :     1 : False : False : Binary
          (2, 130) :     0 :   0.0 :     1 : False : False : Binary
          (2, 131) :     0 :   0.0 :     1 : False : False : Binary
          (2, 132) :     0 :   0.0 :     1 : False : False : Binary
          (2, 133) :     0 :   0.0 :     1 : False : False : Binary
          (2, 134) :     0 :   0.0 :     1 : False : False : Binary
          (2, 135) :     0 :   0.0 :     1 : False : False : Binary
          (2, 136) :     0 :   0.0 :     1 : False : False : Binary
          (2, 137) :     0 :   0.0 :     1 : False : False : Binary
          (2, 138) :     0 :   0.0 :     1 : False : False : Binary
          (2, 139) :     0 :   0.0 :     1 : False : False : Binary
          (2, 140) :     0 :   0.0 :     1 : False : False : Binary
          (2, 141) :     0 :   0.0 :     1 : False : False : Binary
          (2, 142) :     0 :   0.0 :     1 : False : False : Binary
          (2, 143) :     0 :   0.0 :     1 : False : False : Binary
          (2, 144) :     0 :   0.0 :     1 : False : False : Binary
          (2, 145) :     0 :   0.0 :     1 : False : False : Binary
          (2, 146) :     0 :   0.0 :     1 : False : False : Binary
          (2, 147) :     0 :   0.0 :     1 : False : False : Binary
          (2, 148) :     0 :   0.0 :     1 : False : False : Binary
          (2, 149) :     0 :   0.0 :     1 : False : False : Binary
          (2, 150) :     0 :   0.0 :     1 : False : False : Binary
          (2, 151) :     0 :   0.0 :     1 : False : False : Binary
          (2, 152) :     0 :   0.0 :     1 : False : False : Binary
            (3, 0) :     0 :   0.0 :     1 : False : False : Binary
            (3, 1) :     0 :   0.0 :     1 : False : False : Binary
            (3, 2) :     0 :   0.0 :     1 : False : False : Binary
            (3, 3) :     0 :   0.0 :     1 : False : False : Binary
